Year	Project	WorkProduct	Student	Mentors
2008	Finite Mixture Models for Large Data Sets	Package	Arijit Das	Friedrich Leisch
2008	Roxygen documentation system for R	Documentation	Peter Danenberg	Manuel Eugster
2008	lme4: Adaptive Gauss-Hermite quadrature method for mixed-effects models	Package	Bin Dai	Douglas M. Bates
2008	Connecting R and PostgreSQL using DBI	Database	Sameer Kumar Prayaga	Dirk Eddelbuettel
2009	Development of crantastic.org	Infrastructure	Bjørn Arild Mæland	Hadley Wickham
2009	Implementation of the GUIDE algorithm	Package	ESH	Torsten Hothorn
2009	RQuantLib - Bridging R and QuantLib	Package	Khanh Nguyen	Dirk Eddelbuettel
2009	You cant control what you can't measure	Package	mariane	Manuel Eugster
2010	rdx - Automatic Differentiation in R	Package	Chidambaram Annamalai	John Nash
2010	Social Relations Analyses in R	Package	Felix Schönbrodt	schmukle
2010	A GUI for Graphics Using ggplot2 and Deducer	GUI	Ian Fellows	Hadley Wickham
2010	rgeos - an R wrapper for GEOS	Package	rundel	Roger Bivand
2011	optile Category order optimization for graphical displays of categorical data	Package	Alexander Pilhöfer	Rosuda93
2011	Manipulating RStudio Graphics Towards Creating Intuitive Mathematical Comprehension	GUI	Andrew Rich	Daniel Kaplan, JJ Allaire
2011	R-EM-Accelerator: Smarter Iterative Schemes Save Your Time	Package	Hui Zhao	Roger Peng, Ravi Varadhan
2011	Convergence acceleration of the Expectation-Maximization (EM) algorithms in computational statistics: A suite of cutting-edge acceleration schemes	Package	Jennifer	Ravi Varadhan
2011	SMART: Sparse Multivariate Adaptive Regression Toolkit	Package	Juemin	Han Liu
2011	Exploratory visualization of dynamic stochastic processes	Visualization	Kåre Jacobsen	Niels Richard Hansen
2011	OpenMP parallel framework for R	Package	Lei Jiang	f.jamitzky, prag, ostrouchovg
2011	DClusterm: Model-based detection of disease clusters	Package	Paula Moraga	Barry Rowlingson, Virgilio Gómez-Rubio
2011	Developing a hyperSpec GUI	GUI	Sebastian Mellor	Colin Gillespie, Claudia Beleites
2011	Image Analysis in R	Package	Sunil Kumar	Ian Fellows
2011	HUGE: High-dimensional Undirected Graph Estimation	Package	Tuo Zhao	Roeder, Han Liu
2011	Cranvastime: Interactive longitudinal and temporal data plots	Package	Xiaoyue Cheng	Dianne Cook, Heike Hofmann
2011	Proposal for Components in TradeAnalytics Toolchain enhancements	Package	Yi-An Chen	Brian Peterson
2011	A GUI based package to assist optimization problems in R	GUI	yixuan	John Nash
2012	Bayesian Spatial Econometrics with R	Package	Abhirup Mallik	Virgilio Gómez-Rubio
2012	Portfolio Performance Measurement and Benchmarking	Package	Andrii Babii	Doug Martin
2012	BigMatrix: Super Scalable Predictive Analytics for Big Matrices in R	Package	Fang	Rafa
2012	Add additional closed form and global optimizer backends to PortfolioAnalytics	Package	Hezky Varon	Guy Yollin
2012	xtend RTAQ for additional high frequency time series analysis	Package	Jonathan Cornelissen	Kris Boudt
2012	Develop an R package interfacing the computer algebra system Maxima	Package	Kseniia Shumelchyk	Hans W Borchers
2012	Inclusion of Attilio Meucci's implementations in ReturnAnalytics	Package	Manan Shah	Brian Peterson
2012	Additional performance measures and attribution functionality to PerformanceAnalytics	Package	Matthieu	Peter Carl
2012	Improvements to xts time series visualization and subsetting	Visualization	Michael Weylandt	Joshua Ulrich
2012	HyperSpec: Parallelization and Optimization	Package	Simon Fuller	Claudia Beleites
2012	Dynamic report generation in the web with R	Package	Taiyun Wei	Yihui Xie
2012	Aggregate CRAN package download statistics across multiple mirrors	Infrastructure	Tim Jurka	Hadley Wickham
2012	Interactive dendrogram	Visualization	Tomas Sieger	cbhurley
2012	SAM: A General-purpose Classifier for Modern Predictive Data Analysis	Package	Tuo Zhao	Roeder
2012	Access and visualization of biodiversity data in R	Visualization	Vijay Barve	Scott Chamberlain
2012	Biganalysis: A robust, general-purpose R package for large scale classification	Package	Xiaolin Yang	Han Liu
2013	R Interactive Graphics via HTml	Visualization	Chung Ha SUNG	Jae W. Lee, Junghoon Lee
2013	Implement/Port Spectral Unmixing Methods to R	Package	Conor McManus	Claudia Beleites, Simon Fuller, Bryan Hanson
2013	Improving rapport and pander packages	Package	Dániel Nagy	Gergely Daróczi, Aleksandar Blagotic
2013	Improvements to data construction, subsetting, and manipulation for time series data	Package	EvilTosha	Michael Weylandt, Joshua Ulrich, Peter Carl, Brian Peterson, Paul Teetor
2013	Profiling Tools for Parallel Computing with R	Package	Gaurav Sehrawat	ostrouchovg, Drew Schmidt, Wei-Chen Chen
2013	Highfrequency: add inferential methods to highfrequency	Package	giangnguyen	Kris Boudt, Jonathan Cornelissen, Brian Peterson, Daniele Signori
2013	Addressing IID Assumptions in Finance: Autocorrelation and Drawdowns in Performance Analysis	Package	pulkit	Paul Teetor, Peter Carl, Doug Martin, Brian Peterson, Daniele Signori
2013	robgpu	Package	Roland Boubela	Andreas
2013	PortfolioAnalytics	Package	Ross Bennett	Paul Teetor, Peter Carl, Guy Yollin, Brian Peterson, Doug Martin
2013	Addressing IID Assumptions in Finance: Autocorrelation and Drawdowns in Performance Analysis	Package	Shubhankit Mohan	Paul Teetor, Peter Carl, Doug Martin, Brian Peterson, Daniele Signori
2013	Improve display of imported vector graphics in R	Visualization	Simon Potter	Toby Hocking, Paul Murrell
2013	Improve rendering of animated/interactive ggplots in d3 using animint	Visualization	Susan VanderPlas	Toby Hocking
2013	Handle parallel (vectorized) objective functions in a new optimization wrapper package	Package	thirdwing	Y. Richet, Joshua Ulrich
2013	CAMEL: Calibrated Machine Learning	Package	Tuo Zhao	Han Liu
2013	Biodiversity data visualization in R	Visualization	Vijay Barve	Javier Otegui, Virgilio Gómez-Rubio
2013	Collection of functionality ported from the MATLAB code of Attilio Meucci	Package	Xavi	David Ardia, Brian Peterson, Peter Carl
2013	A package extension for Exponential Random Graph Model with block structure	Package	Xiaolin Yang	Michael Rosenblum, Han Liu
