"","name","city","country","region","members","fullurl","created","status","last_event","past_events","upcoming_events"
"1","R-Ladies Barcelona","Barcelona","Spain","Europe",592,"https://www.meetup.com/rladies-barcelona/",2016-10-22,"Active",2020-11-19,19,0
"2","R-Ladies Tucson AZ","Tucson","USA","US/Canada",350,"https://www.meetup.com/rladies-tucson-az/",2017-11-14,"Active",2021-01-06,40,1
"3","R-Ladies Bilbao","Bilbao","Spain","Europe",183,"https://www.meetup.com/rladies-bilbao/",2019-02-27,"Inactive",2020-01-14,4,0
"4","R-Ladies Bariloche","San Carlos de Bariloche","Argentina","Latin America",278,"https://www.meetup.com/rladies-bariloche/",2018-05-10,"Active",2020-10-26,13,0
"5","R-Ladies Melbourne","Melbourne","Australia","Australia",1739,"https://www.meetup.com/rladies-melbourne/",2016-09-02,"Active",2020-11-16,61,0
"6","R-Ladies Porto Alegre","Porto Alegre","Brazil","Latin America",354,"https://www.meetup.com/rladies-porto-alegre/",2017-10-30,"Active",2020-07-30,7,0
"7","R-Ladies Guayaquil","Guayaquil","Ecuador","Latin America",540,"https://www.meetup.com/rladies-guayaquil/",2018-04-05,"Active",2020-08-07,7,0
"8","R-Ladies Kansas City","Kansas City","USA","US/Canada",63,"https://www.meetup.com/rladies-kansas-city/",2019-07-19,"Inactive",2020-02-14,4,0
"9","R-Ladies Canberra","Canberra","Australia","Australia",208,"https://www.meetup.com/rladies-canberra/",2018-12-10,"Active",2020-12-03,13,0
"10","R-Ladies Riverside","Riverside","USA","US/Canada",348,"https://www.meetup.com/rladies-riverside/",2019-08-02,"Active",2020-12-11,8,0
"11","R-Ladies Santa Barbara","Santa Barbara","USA","US/Canada",438,"https://www.meetup.com/rladies-santa-barbara/",2018-01-26,"Active",2020-12-17,14,0
"12","R-Ladies San Diego","San Diego","USA","US/Canada",607,"https://www.meetup.com/rladies-san-diego/",2017-06-16,"Active",2020-12-17,34,0
"13","R-Ladies Johannesburg","Johannesburg","South Africa","Africa",673,"https://www.meetup.com/rladies-johannesburg/",2018-02-26,"Active",2020-11-30,27,0
"14","R-Ladies Novi Sad","Novi Sad","Serbia","Europe",137,"https://www.meetup.com/rladies-novi-sad/",2019-05-24,"Inactive",2019-12-21,6,0
"15","R-Ladies Frankfurt","Frankfurt","Germany","Europe",99,"https://www.meetup.com/rladies-frankfurt/",2019-02-27,"Inactive",2020-02-20,9,0
"16","R-Ladies Highland Park","Highland Park","USA","US/Canada",69,"https://www.meetup.com/rladies-highland-park/",2019-05-09,"Inactive",2019-12-02,4,0
"17","R-Ladies Quito","Quito","Ecuador","Latin America",808,"https://www.meetup.com/rladies-quito/",2017-07-18,"Inactive",2020-07-01,10,0
"18","R-Ladies Houston","Houston","USA","US/Canada",95,"https://www.meetup.com/rladies-houston/",2018-12-07,"Unbegun",NA,0,0
"19","R-Ladies Puebla","Puebla","Mexico","Latin America",201,"https://www.meetup.com/rladies-puebla/",2019-07-19,"Active",2020-10-01,5,0
"20","R-Ladies Freiburg","Freiburg","Germany","Europe",367,"https://www.meetup.com/rladies-freiburg/",2019-01-23,"Active",2020-12-01,30,10
"21","R-Ladies Seattle","Seattle","USA","US/Canada",794,"https://www.meetup.com/rladies-seattle/",2017-11-08,"Active",2020-12-16,33,1
"22","R-Ladies Xalapa","Xalapa","Mexico","Latin America",402,"https://www.meetup.com/rladies-xalapa/",2018-07-30,"Active",2020-12-18,20,0
"23","R-Ladies Bucharest","Bucharest","Romania","Europe",227,"https://www.meetup.com/rladies-bucharest/",2019-05-09,"Active",2020-12-15,14,1
"24","R-Ladies Belgrade","Belgrade","Serbia","Europe",456,"https://www.meetup.com/rladies-belgrade/",2017-09-15,"Active",2020-12-03,22,1
"25","R-Ladies Salvador","Salvador","Brazil","Latin America",228,"https://www.meetup.com/rladies-salvador/",2018-07-23,"Active",2020-12-12,6,0
"26","R-Ladies Madrid","Madrid","Spain","Europe",1584,"https://www.meetup.com/rladies-madrid/",2016-09-02,"Active",2020-11-19,40,0
