"","name","city","country","region","members","fullurl","created","past_events","upcoming_events","visibility","last_event","lat","lon"
"1","Customer Data Science LA","Santa Monica","USA","US/Canada",617,"https://www.meetup.com/Customer-Data-Science-LA/",2019-06-20,14,0,"public_limited",2020-10-01,34.02,-118.5
"2","ODSC Vancouver Data Science","Vancouver","Canada","US/Canada",360,"https://www.meetup.com/ODSC-Vancouver-Data-Science/",2019-11-22,59,2,"public",2021-06-15,49.28,-123.04
"3","ODSC Denver Data Science","Denver","USA","US/Canada",167,"https://www.meetup.com/ODSC-Denver-Data-Science/",2019-11-22,68,2,"public",2021-06-15,39.7,-105.08
"4","Ulmer Data Science Stammtisch","Ulm","Germany","Europe",405,"https://www.meetup.com/Ulmer-Data-Science-Stammtisch/",2017-12-06,10,0,"public",2019-11-25,48.4,9.97
"5","Western Mass Statistics and Data Science","Northampton","USA","US/Canada",529,"https://www.meetup.com/Pioneer-Valley-and-Five-College-R-Statistical-Meetup/",2013-01-02,209,0,"public",2020-02-27,42.33,-72.68
"6","Clarksville Data Science and R Users Meetup Group","Clarksville","USA","US/Canada",26,"https://www.meetup.com/Clarksville-Data-Science-and-R-Users-Meetup-Group/",2019-06-13,2,0,"public",2019-08-11,36.56,-87.41
"7","R UseR Group at Harvard Data Science Initiative","Cambridge","USA","US/Canada",57,"https://www.meetup.com/r-user-group-at-harvard-data-science-initiative/",2021-05-25,1,1,"public",2021-06-10,42.38,-71.13
"8","Bangalore Data Science and Analytics Using R Meetup","Bangalore","India","Asia",223,"https://www.meetup.com/Bangalore-Data-Science-and-Analytics-Using-R-Meetup/",2018-11-09,0,0,"public",1970-01-01,12.97,77.56
"9","Mad Over Data | Mumbai","Mumbai","India","Asia",215,"https://www.meetup.com/Mad-Over-Data/",2020-01-02,4,0,"public",2020-08-16,18.96,72.82
"10","Mad Over Data | Delhi NCR","Delhi","India","Asia",418,"https://www.meetup.com/Mad-Over-Data-Delhi-NCR/",2020-01-07,6,0,"public",2020-08-16,28.67,77.21
"11","Mad Over Data | Bangalore","Bangalore","India","Asia",430,"https://www.meetup.com/Mad-Over-Data-Bangalore/",2020-01-23,5,0,"public",2020-08-16,12.97,77.56
"12","BerlinR - an R group focused on modern data science","Berlin","Germany","Europe",629,"https://www.meetup.com/BerlinR-R-users-group/",2018-10-23,8,0,"public",2020-02-05,52.52,13.38
"13","Greater Cleveland Python/Julia/R Data Science Group","Cleveland","USA","US/Canada",589,"https://www.meetup.com/Greater-Cleveland-SciPy-Julia-R-Data-Science-Group/",2016-03-12,33,0,"public_limited",2019-08-03,41.47,-81.58
"14","Analytics, Data Science  & ML- R, Python,Tableau & Power BI","Bangalore","India","Asia",3616,"https://www.meetup.com/Analytics-Data-Science-R-Tableau-Power-BI/",2017-10-29,35,0,"public",2018-10-20,12.97,77.56
"15","Master Cohorts","Nairobi","Kenya","Africa",262,"https://www.meetup.com/Master-Data-Science/",2020-04-03,1,0,"public",2020-04-25,-1.29,36.82
"16","Miami R User Group","Miami","USA","US/Canada",12,"https://www.meetup.com/miami-r-user-group/",2021-04-28,0,0,"public",1970-01-01,25.78,-80.2
"17","R User Group Eindhoven","Eindhoven","Netherlands","Europe",102,"https://www.meetup.com/R-User-Group-Eindhoven/",2019-02-28,11,0,"public",2021-01-24,51.44,5.47
"18","Las Vegas R User Group","Las Vegas","USA","US/Canada",28,"https://www.meetup.com/Las-Vegas-R-User-Group/",2018-09-28,0,0,"public",1970-01-01,36.02,-115.15
"19","Seoul R Meetup Group","Seoul","Korea (South)","Asia",243,"https://www.meetup.com/seoul-r-meetup/",2020-08-08,8,0,"public",2021-04-14,37.56,126.99
"20","LA R users group","Santa Monica","USA","US/Canada",2363,"https://www.meetup.com/Los-Angeles-R-Users-Group-Data-Science/",2009-03-21,129,0,"public",2021-05-19,34.02,-118.5
"21","Montreal R User Group","Montréal","Canada","US/Canada",1635,"https://www.meetup.com/Montreal-R-User-Group/",2012-03-13,107,3,"public",2021-06-16,45.53,-73.6
"22","Eskisehir R Users Group & ESTÜ Veri Bilimi Kulübü","Eskisehir","Turkey","Europe",102,"https://www.meetup.com/Eskisehir-R-Users-Group-Data-Science-Society/",2020-02-28,11,0,"public",2021-04-16,39.79,30.52
"23","Colchester R Meetup","Colchester","United Kingdom","Europe",289,"https://www.meetup.com/Colchester-R-Meetup/",2018-04-16,16,0,"public",2020-10-22,51.88,0.9
"24","Phoenix R User Group","Phoenix","USA","US/Canada",883,"https://www.meetup.com/Phoenix-R-User-Group/",2016-04-16,18,0,"public",2018-08-24,33.45,-112.07
"25","The Chicago R User Group (CRUG)","Chicago","USA","US/Canada",3865,"https://www.meetup.com/Chicago-R-User-Group/",2010-04-05,80,0,"public",2021-06-16,41.88,-87.64
"26","Orange County R Users Group (OCRUG)","Irvine","USA","US/Canada",796,"https://www.meetup.com/OC-RUG/",2014-12-17,100,2,"public",2021-05-19,33.65,-117.82
"27","University of Ibadan R Users Group (UI RUG)","Ibadan","Nigeria","Africa",90,"https://www.meetup.com/University-of-Ibadan-R-Users-Group-UI-RUG/",2020-02-14,1,0,"public",2020-03-07,7.38,3.93
"28","Applied R Munich","München","Germany","Europe",1180,"https://www.meetup.com/Applied-R-Munich/",2015-10-16,14,0,"public",2020-12-11,48.14,11.58
"29","Oxford R User Group","Oxford","United Kingdom","Europe",588,"https://www.meetup.com/Oxford-R-User-Group/",2017-08-17,23,0,"public",2020-02-03,51.75,-1.26
